
[2025-06-21 06:10:37] [INFO] [__main__] - 2025-06-21 06:10:37 | SHORT işlemi gerçekleştirildi. | Sembol: FUNUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 37.24 USDT
[2025-06-21 06:12:08] [INFO] [__main__] - 2025-06-21 06:12:08 | SHORT işlemi gerçekleştirildi. | Sembol: FUNUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 37.24 USDT
[2025-06-21 06:14:29] [INFO] [__main__] - 2025-06-21 06:14:28 | SHORT işlemi gerçekleştirildi. | Sembol: NEIROUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 37.24 USDT
[2025-06-21 06:16:00] [INFO] [__main__] - 2025-06-21 06:15:59 | SHORT işlemi gerçekleştirildi. | Sembol: FUNUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 37.24 USDT
[2025-06-21 06:17:44] [INFO] [__main__] - 2025-06-21 06:17:44 | SHORT işlemi gerçekleştirildi. | Sembol: LPTUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 37.24 USDT
[2025-06-21 06:19:16] [INFO] [__main__] - 2025-06-21 06:19:16 | SHORT işlemi gerçekleştirildi. | Sembol: FUNUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 37.24 USDT
[2025-06-21 06:20:47] [INFO] [__main__] - 2025-06-21 06:20:47 | SHORT işlemi gerçekleştirildi. | Sembol: FUNUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 37.24 USDT
[2025-06-21 07:03:09] [INFO] [__main__] - 2025-06-21 07:03:08 | SHORT işlemi gerçekleştirildi. | Sembol: SIRENUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 36.22 USDT
[2025-06-21 07:05:51] [INFO] [__main__] - 2025-06-21 07:05:51 | SHORT işlemi gerçekleştirildi. | Sembol: SIRENUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 36.58 USDT
[2025-06-21 07:17:32] [INFO] [__main__] - 2025-06-21 07:17:32 | SHORT işlemi gerçekleştirildi. | Sembol: SIRENUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 36.58 USDT
[2025-06-21 07:20:17] [INFO] [__main__] - 2025-06-21 07:20:17 | SHORT işlemi gerçekleştirildi. | Sembol: SIRENUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 36.57 USDT
[2025-06-21 07:23:03] [INFO] [__main__] - 2025-06-21 07:23:02 | SHORT işlemi gerçekleştirildi. | Sembol: SIRENUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 34.85 USDT
[2025-06-21 07:25:45] [INFO] [__main__] - 2025-06-21 07:25:45 | SHORT işlemi gerçekleştirildi. | Sembol: SIRENUSDT | Yön: SELL | Leverage: 10x | Margin: ISOLATED | Balance: 33.33 USDT
[2025-06-21 07:30:47] [INFO] [__main__] - 2025-06-21 07:30:47 | LONG işlemi gerçekleştirildi. | Sembol: APTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 35.08 USDT
[2025-06-21 07:34:02] [INFO] [__main__] - 2025-06-21 07:34:02 | LONG işlemi gerçekleştirildi. | Sembol: LAYERUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 35.03 USDT
[2025-06-21 08:03:02] [INFO] [__main__] - 2025-06-21 08:03:02 | LONG işlemi gerçekleştirildi. | Sembol: APTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 34.09 USDT
[2025-06-21 08:08:04] [INFO] [__main__] - 2025-06-21 08:08:04 | LONG işlemi gerçekleştirildi. | Sembol: APTUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 34.49 USDT
[2025-06-21 08:29:01] [INFO] [__main__] - 2025-06-21 08:29:01 | LONG işlemi gerçekleştirildi. | Sembol: PENGUUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 34.84 USDT
[2025-06-21 08:31:01] [INFO] [__main__] - 2025-06-21 08:31:01 | LONG işlemi gerçekleştirildi. | Sembol: TRUMPUSDT | Yön: BUY | Leverage: 10x | Margin: ISOLATED | Balance: 34.80 USDT
[2025-06-21 08:40:08] [INFO] [__main__] - 2025-06-21 08:40:08 | LONG işlemi gerçekleştirildi. | Sembol: APTUSDT | Yön: BUY | Leverage: 10x | Margin: CROSS | Balance: 34.81 USDT
[2025-06-21 10:00:41] [INFO] [__main__] - 2025-06-21 10:00:41 | LONG işlemi gerçekleştirildi. | Sembol: TRXUSDT | Yön: BUY | Leverage: 10x | Margin: CROSS | Balance: 35.08 USDT
[2025-06-21 13:40:47] [INFO] [__main__] - 2025-06-21 13:40:47 | LONG işlemi gerçekleştirildi. | Sembol: TUSDT | Yön: BUY | Leverage: 10x | Margin: CROSS | Balance: 34.89 USDT
[2025-06-21 15:03:01] [INFO] [__main__] - 2025-06-21 15:03:01 | LONG işlemi gerçekleştirildi. | Sembol: SOPHUSDT | Yön: BUY | Leverage: 10x | Margin: CROSS | Balance: 35.24 USDT
[2025-06-21 15:06:21] [INFO] [__main__] - 2025-06-21 15:06:21 | LONG işlemi gerçekleştirildi. | Sembol: SOPHUSDT | Yön: BUY | Leverage: 10x | Margin: CROSS | Balance: 35.60 USDT
[2025-06-21 15:11:21] [INFO] [__main__] - 2025-06-21 15:11:21 | LONG işlemi gerçekleştirildi. | Sembol: SOPHUSDT | Yön: BUY | Leverage: 10x | Margin: CROSS | Balance: 35.87 USDT
[2025-06-21 15:57:06] [INFO] [__main__] - 2025-06-21 15:57:06 | SHORT işlemi gerçekleştirildi. | Sembol: 1000PEPEUSDT | Yön: SELL | Leverage: 10x | Margin: CROSS | Balance: 35.81 USDT
[2025-06-21 16:36:29] [INFO] [__main__] - 2025-06-21 16:36:29 | SHORT işlemi gerçekleştirildi. | Sembol: JUPUSDT | Yön: SELL | Leverage: 10x | Margin: CROSS | Balance: 32.81 USDT
[2025-06-21 16:42:03] [INFO] [__main__] - 2025-06-21 16:42:03 | SHORT işlemi gerçekleştirildi. | Sembol: TRBUSDT | Yön: SELL | Leverage: 10x | Margin: CROSS | Balance: 32.77 USDT
[2025-06-21 16:47:47] [INFO] [__main__] - 2025-06-21 16:47:47 | SHORT işlemi gerçekleştirildi. | Sembol: ALGOUSDT | Yön: SELL | Leverage: 10x | Margin: CROSS | Balance: 33.54 USDT
[2025-06-21 16:53:19] [INFO] [__main__] - 2025-06-21 16:53:19 | SHORT işlemi gerçekleştirildi. | Sembol: XRPUSDT | Yön: SELL | Leverage: 10x | Margin: CROSS | Balance: 33.53 USDT
[2025-06-21 16:58:51] [INFO] [__main__] - 2025-06-21 16:58:50 | SHORT işlemi gerçekleştirildi. | Sembol: JTOUSDT | Yön: SELL | Leverage: 10x | Margin: CROSS | Balance: 33.49 USDT
[2025-06-21 17:41:43] [INFO] [__main__] - 2025-06-21 17:41:43 | SHORT işlemi gerçekleştirildi. | Sembol: TUTUSDT | Yön: SELL | Leverage: 25x | Margin: CROSS | Balance: 33.05 USDT
[2025-06-22 23:16:16] [INFO] [__main__] - 2025-06-22 23:16:15 | LONG işlemi gerçekleştirildi. | Sembol: APEUSDT | Yön: BUY | Leverage: 10x | Margin: CROSS | Balance: 29.41 USDT
[2025-06-22 23:21:33] [INFO] [__main__] - 2025-06-22 23:21:33 | LONG işlemi gerçekleştirildi. | Sembol: TAOUSDT | Yön: BUY | Leverage: 10x | Margin: CROSS | Balance: 29.40 USDT
